baseline,ssdThroughput,addedLatency
3290.6672853212754,5792.69497269046,0ms
3290.6672853212754,6120.232598779767,0.5ms
3290.6672853212754,6085.229640815007,1.0ms
3290.6672853212754,5775.345890953632,1.5ms
3290.6672853212754,4899.018438751821,2.0ms
3290.6672853212754,4234.251701295455,2.5ms
3290.6672853212754,3785.4949593007896,3.0ms
3290.6672853212754,3358.450630752177,3.5ms
3290.6672853212754,3082.934486639568,4.0ms
3290.6672853212754,2859.976525155087,4.5ms
3290.6672853212754,2623.8978397215183,5.0ms
