baseline,ssdThroughput,addedLatency
242.57612444970718,1851.4196050053015,0ms
242.57612444970718,1082.2380882010273,0.5ms
242.57612444970718,745.7290869032136,1.0ms
242.57612444970718,598.5852575761724,1.5ms
242.57612444970718,501.0227957365776,2.0ms
242.57612444970718,417.0773168518085,2.5ms
242.57612444970718,359.37658258723326,3.0ms
242.57612444970718,317.06096257236044,3.5ms
242.57612444970718,281.9552437676513,4.0ms
242.57612444970718,255.46074143418275,4.5ms
242.57612444970718,231.94357768667135,5.0ms
242.57612444970718,213.87806222640722,5.5ms
242.57612444970718,198.79354513001167,6.0ms
