baseline,ssdThroughput,addedLatency
458.2004993162823,4713.339785721301,0ms
458.2004993162823,3039.2985517343473,0.5ms
458.2004993162823,2129.868270919958,1.0ms
458.2004993162823,1658.9637784920276,1.5ms
458.2004993162823,1356.5093605505622,2.0ms
458.2004993162823,1150.1302639547791,2.5ms
458.2004993162823,1008.9377460694183,3.0ms
458.2004993162823,895.7271921259229,3.5ms
458.2004993162823,806.998491155437,4.0ms
458.2004993162823,739.0673640255508,4.5ms
458.2004993162823,683.2744946676697,5.0ms
458.2004993162823,633.5264631922395,5.5ms
458.2004993162823,589.4840453928538,6.0ms
458.2004993162823,547.2008635680253,6.5ms
458.2004993162823,513.4028031545591,7.0ms
458.2004993162823,481.42112643184447,7.5ms
458.2004993162823,453.94508245216974,8.0ms
458.2004993162823,430.4709430839692,8.5ms
458.2004993162823,407.1638411156428,9.0ms
