,bReadcount,bLatency,cReadcount,cLatency,dReadcount,dLatency,addedLatency
,5084,88.6854905586153,49809,0.41094735891104,111,146.038009009009,0
,5075,64.8631717688749,50159,0.30934149927977,0,146.038009009009,5
,25456,22.1933486171557,29499,0.292627202298655,0,146.038009009009,10
,27458,13.2044843118292,27578,0.284442955840683,0,146.038009009009,15
,27498,9.51883468218304,27569,0.265551252884397,0,146.038009009009,20
,27483,7.59088974537076,27378,0.246356801200045,0,146.038009009009,25
,,,,,,,
,bReadcount,APT Utah,,Latency was added between B and C nodes,,,
,cReadcount,Utah,,,,,
,dReadcount,Wisconsin,,,,,
